SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER42L,HER42L_1A,HER42L_1A_1,2.9,4,1,4,0,0,2.511,0,485.3112,0.7882,4.6,5.836082213,382.4986,1.1284,0.8826,0,485.3112,1.5195,4.6,3.027311616,737.4476,0.6851,0.9896,0,485.3112,1.15385,4.6,4.4,559.9731,0.90675,0.9361
HER42L,HER42L_1A,HER42L_1A_2,2.9,4.1,1,4.1,0.1,0.1,2.508,0,491.3793,0.9185,8.4,9.145345672,451.3113,1.0494,0.8826,0,491.3793,1.5957,8.4,5.264147396,784.0893,0.639,0.9896,0,491.3793,1.2571,8.4,7.2,617.7003,0.8442,0.9361
HER42L,HER42L_1A,HER42L_1A_3,2.9,4.2,1,4.2,0.2,0.2,2.529,0,1014.034,0.9683,10.2,10.53392544,981.8503,1.0192,0.8826,0,1014.034,1.6159,10.2,6.312271799,1638.604,0.6267,0.9896,0,1014.034,1.2921,10.2,8.4,1310.22715,0.82295,0.9361
HER42L,HER42L_1A,HER42L_1A_4,2.9,4.3,1,4.3,0.3,0.3,2.582,0,1071.814,1.0062,9.2,9.143311469,1078.444,0.9963,0.8826,0,1071.814,1.6168,9.2,5.69025235,1732.88,0.6262,0.9896,0,1071.814,1.3115,9.2,7.4,1405.662,0.81125,0.9361
HER42L,HER42L_1A,HER42L_1A_5,2.9,4.4,1,4.4,0.4,0.4,2.576,0,1718.479,1.0543,7.3,6.92402542,1811.743,0.9671,0.8621,0,1718.479,1.6477,7.3,4.430418159,2831.521,0.6075,0.964,0,1718.479,1.351,7.3,5.7,2321.632,0.7873,0.91305
HER42L,HER42L_1A,HER42L_1A_6,2.9,4.5,1,4.5,0.5,0.5,2.57,0,1147.834,1.0613,7.8,7.349477056,1218.233,0.9628,0.8621,0,1147.834,1.6543,7.8,4.71498519,1898.838,0.6035,0.964,0,1147.834,1.3578,7.8,6,1558.5355,0.78315,0.91305
HER42L,HER42L_1A,HER42L_1A_7,2.9,4.6,1,4.6,0.6,0.6,2.604,0,1537.19,1.0339,11.1,10.73604797,1589.245,0.9795,0.8621,0,1537.19,1.6246,11.1,6.832451065,2497.277,0.6215,0.964,0,1537.19,1.32925,11.1,8.8,2043.261,0.8005,0.91305
HER42L,HER42L_1A,HER42L_1A_8,2.9,4.7,1,4.7,0.7,0.7,2.579,0,1178.164,1.068,15.4,14.41947566,1258.222,0.9588,0.8426,0,1178.164,1.6547,15.4,9.306822989,1949.469,0.6032,0.9397,0,1178.164,1.36135,15.4,11.9,1603.8455,0.781,0.89115
HER42L,HER42L_1A,HER42L_1A_9,2.9,4.8,1,4.8,0.8,0.8,2.551,0,1329.338,1.0948,20.2,18.4508586,1455.324,0.9426,0.8426,0,1329.338,1.6819,20.2,12.01022653,2235.76,0.5868,0.9397,0,1329.338,1.38835,20.2,15.2,1845.542,0.7647,0.89115
HER42L,HER42L_1A,HER42L_1A_10,2.9,4.9,1,4.9,0.9,0.9,2.537,0,1372.093,1.1067,25.3,22.86075721,1518.443,0.9354,0.8239,0,1372.093,1.6946,25.3,14.92977694,2325.209,0.579,0.9166,0,1372.093,1.40065,25.3,18.9,1921.826,0.7572,0.87025
HER42L,HER42L_1A,HER42L_1A_11,2.9,5,1,5,1,1,2.529,0,1349.52,1.1691,31.2,26.68719528,1577.674,0.8975,0.8239,0,1349.52,1.7355,31.2,17.97752809,2342.069,0.5543,0.9166,0,1349.52,1.4523,31.2,22.3,1959.8715,0.7259,0.87025
HER42L,HER42L_1A,HER42L_1A_12,2.9,5.1,1,5.1,1.1,1.1,2.539,0,1568.252,1.1821,39.7,33.58429913,1853.902,0.8896,0.8061,0,1568.252,1.7394,39.7,22.82396229,2727.771,0.5519,0.8946,0,1568.252,1.46075,39.7,28.2,2290.8365,0.72075,0.85035
HER42L,HER42L_1A,HER42L_1A_13,2.9,5.2,1,5.2,1.2,1.2,2.585,0,1064.224,1.1971,45.4,37.92498538,1274.02,0.8805,0.8061,0,1064.224,1.7304,45.4,26.23670828,1841.489,0.5574,0.8946,0,1064.224,1.46375,45.4,32.1,1557.7545,0.71895,0.85035
HER42L,HER42L_1A,HER42L_1A_14,2.9,5.3,1,5.3,1.3,1.3,2.617,0,732.2328,1.2206,44.8,36.70326069,893.7367,0.8663,0.7889,0,732.2328,1.7325,44.8,25.85858586,1268.618,0.556,0.8736,0,732.2328,1.47655,44.8,31.3,1081.17735,0.71115,0.83125
HER42L,HER42L_1A,HER42L_1A_15,2.9,5.4,1,5.4,1.4,1.4,2.691,0,1261.012,1.2208,39.4,32.27391874,1539.464,0.8662,0.7889,0,1261.012,1.7058,39.4,23.09766678,2150.976,0.5723,0.8736,0,1261.012,1.4633,39.4,27.7,1845.22,0.71925,0.83125
HER42L,HER42L_1A,HER42L_1A_16,2.9,5.5,1,5.5,1.5,1.5,2.626,0,1476.11,1.2452,33,26.50176678,1838.122,0.8514,0.7568,0,1476.11,1.7444,33,18.91767943,2574.92,0.5489,0.8344,0,1476.11,1.4948,33,22.7,2206.521,0.70015,0.7956
HER42L,HER42L_1A,HER42L_1A_17,2.9,5.6,1,5.6,1.6,1.6,2.575,0,481.8488,1.2853,28.3,22.01820587,619.3025,0.8271,0.7568,0,481.8488,1.7884,28.3,15.8242004,861.7618,0.5222,0.8344,0,481.8488,1.53685,28.3,18.9,740.53215,0.67465,0.7956
HER42L,HER42L_1A,HER42L_1A_18,2.9,5.7,1,5.7,1.7,1.7,2.533,0,490.0367,1.356,24.8,18.28908555,664.4913,0.7842,0.7271,0,490.0368,1.8489,24.8,13.41338093,906.017,0.4855,0.7986,0,490.03675,1.60245,24.8,15.9,785.25415,0.63485,0.76285
HER42L,HER42L_1A,HER42L_1A_19,2.9,5.8,1,5.8,1.8,1.8,2.524,0,550.6108,1.3511,23.7,17.54126267,743.9492,0.7872,0.7271,0,550.6108,1.8494,23.7,12.81496702,1018.303,0.4852,0.7986,0,550.6108,1.60025,23.7,15.2,881.1261,0.6362,0.76285
HER42L,HER42L_1A,HER42L_1A_20,2.9,5.9,1,5.9,1.9,1.9,2.526,0,664.9118,1.3938,24.1,17.29085952,926.7488,0.7613,0.7131,0,664.9119,1.8753,24.1,12.85127713,1246.937,0.4695,0.7817,0,664.91185,1.63455,24.1,15.1,1086.8429,0.6154,0.7474
HER42L,HER42L_1A,HER42L_1A_21,2.9,6,1,6,2,2,2.557,0,476.2526,1.3457,25.5,18.94924575,640.8797,0.7905,0.6866,0,476.2526,1.833,25.5,13.91162029,872.9808,0.4951,0.7501,0,476.2526,1.58935,25.5,16.4,756.93025,0.6428,0.71835
